#{"t_start": 1760711090.7982905, "env_id": "None"}
r,l,t
-518.703345,1446,4.820219
-474.270065,1446,7.468396
-432.226784,1446,9.885476
-466.716896,1446,11.564039
-508.509797,1446,14.322796
-476.87266,1446,17.217872
-453.112897,1446,18.589639
-447.2628,1446,21.141672
-461.641358,1446,23.674131
-508.790897,1446,26.461272
-448.770188,1446,28.105755
-438.536115,1446,30.693512
-435.804682,1446,33.500289
-458.673077,1446,35.048141
-484.449313,1446,37.78849
-451.148082,1446,40.458886
-453.947233,1446,43.081011
-468.148183,1446,44.52605
-446.591265,1446,47.028803
-461.881117,1446,49.400625
-493.233797,1446,50.754939
-446.568012,1446,53.263011
-479.882114,1446,55.853482
-466.906882,1446,57.555357
-469.990218,1446,59.894634
-457.45228,1446,62.470211
-483.125483,1446,64.996638
-464.264995,1446,66.587083
-488.329869,1446,69.294502
-493.543287,1446,71.80467
-450.172512,1446,73.187021
-448.354391,1446,75.665979
-438.491139,1446,78.176174
-518.944824,1446,80.585696
-444.233562,1446,82.081419
-484.208785,1446,84.508459
-440.165573,1446,86.791607
-480.60724,1446,88.097702
-432.519197,1446,90.387934
-481.060903,1446,92.729672
-498.181694,1446,94.077405
-470.285133,1446,96.39373
-448.152232,1446,98.689754
-400.473108,1446,100.967583
-441.649785,1446,102.290773
-439.286322,1446,104.585428
-448.341066,1446,106.889524
-412.605984,1446,108.193134
-423.427335,1446,110.502731
-387.93058,1446,112.813395
-341.221866,1446,115.045289
-340.809691,1446,116.34981
-354.353111,1446,118.591591
-373.230692,1446,120.836103
-362.841863,1446,122.153914
-308.68289,1446,124.405297
-309.329049,1446,126.636318
-287.312662,1446,127.939795
-246.268904,1446,130.200882
-216.554123,1446,132.462084
-297.892247,1446,134.723351
-173.587243,1446,136.044692
-197.580042,1446,138.33479
-164.305667,1446,140.599874
-118.400853,1446,141.900903
-152.038819,1446,144.158391
-79.147924,1446,146.421579
-132.375578,1446,148.673788
-145.601832,1446,149.995267
